;416;416;1165;1165;1167;1167;1168;1168;1213;1213
9N97MP74CB;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$Q_S018_06;2;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";2;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S010_02;4;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S014_03;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S009_03;5;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S020_04;3;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";2;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S019_03;2;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";1;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S018_01;3;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S013_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S010_05;5;"28.02.2019 12:39";5;"19.02.2019 19:36";4;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S014_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S009_05;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S018_03;4;"28.02.2019 12:39";4;"19.02.2019 19:36";3;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S014_05;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S009_06;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S018_08;1;"28.02.2019 12:39";2;"19.02.2019 19:36";2;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S006_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_05;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_06;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_07;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_09;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_10;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_11;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";3;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_12;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S091_01;5;"28.02.2019 12:39";5;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S091_02;5;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S091_03;4;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S091_04;5;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S091_05;5;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S091_06;4;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S091_07;5;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S037_01;2;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S037_02;3;"28.02.2019 12:39";3;"19.02.2019 19:36";2;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S037_03;2;"28.02.2019 12:39";2;"19.02.2019 19:36";1;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S037_04;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S130_01;5;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S130_02;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S130_03;4;"28.02.2019 12:39";4;"19.02.2019 19:36";4;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S130_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S130_05;5;"28.02.2019 12:39";4;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S130_06;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";4;"12.03.2019 15:00"
$Q_S131_01;3;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_02;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_03;3;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_04;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_05;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_06;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";5;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S199_01;79;"28.02.2019 12:39";75;"19.02.2019 19:36";84;"19.02.2019 15:38";25;"25.02.2019 10:31";75;"12.03.2019 15:00"
$Q_S199_02;85;"28.02.2019 12:39";75;"19.02.2019 19:36";85;"19.02.2019 15:38";25;"25.02.2019 10:31";75;"12.03.2019 15:00"
