;416;416;1165;1165;1167;1167;1168;1168;1213;1213
9N97MP74CB;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$Q_S006_PAR_BZ;1.5443037974683547;"28.02.2019 12:39";1.5443037974683547;"19.02.2019 19:36";1.5443037974683547;"19.02.2019 15:38";1.1223628691983127;"25.02.2019 10:31";1.5443037974683547;"12.03.2019 15:00"
$Q_S006_PAR_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S006_RES;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_RES_BZ;1.5694444444444444;"28.02.2019 12:39";1.5694444444444444;"19.02.2019 19:36";1.5694444444444444;"19.02.2019 15:38";1.1064814814814818;"25.02.2019 10:31";1.5694444444444444;"12.03.2019 15:00"
$Q_S006_RES_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S006_LEG;4.75;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.25;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S006_LEG_BZ;1.208791208791209;"28.02.2019 12:39";1.4835164835164836;"19.02.2019 19:36";1.4835164835164836;"19.02.2019 15:38";0.6593406593406594;"25.02.2019 10:31";1.4835164835164836;"12.03.2019 15:00"
$Q_S006_LEG_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S091;4.714285714285714;"28.02.2019 12:39";4.142857142857143;"19.02.2019 19:36";4.428571428571429;"19.02.2019 15:38";4.142857142857143;"25.02.2019 10:31";3.5714285714285716;"12.03.2019 15:00"
$Q_S091_BZ;1.5519480519480522;"28.02.2019 12:39";0.6861471861471867;"19.02.2019 19:36";1.1190476190476195;"19.02.2019 15:38";0.6861471861471867;"25.02.2019 10:31";-0.1796536796536793;"12.03.2019 15:00"
$Q_S091_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";3;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S037;2.5;"28.02.2019 12:39";2.75;"19.02.2019 19:36";2.25;"19.02.2019 15:38";3;"25.02.2019 10:31";3;"12.03.2019 15:00"
$Q_S037_BZ;-0.6071428571428569;"28.02.2019 12:39";-0.30952380952380926;"19.02.2019 19:36";-0.9047619047619045;"19.02.2019 15:38";-0.01190476190476165;"25.02.2019 10:31";-0.01190476190476165;"12.03.2019 15:00"
$Q_S037_BV;3;"28.02.2019 12:39";3;"19.02.2019 19:36";3;"19.02.2019 15:38";2;"25.02.2019 10:31";2;"12.03.2019 15:00"
$Q_S031_01r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031_03r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031_04r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031_06r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031_07r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031_09r;-1;"28.02.2019 12:39";-1;"19.02.2019 19:36";-1;"19.02.2019 15:38";-1;"25.02.2019 10:31";-1;"12.03.2019 15:00"
$Q_S031;0;"28.02.2019 12:39";0;"19.02.2019 19:36";0;"19.02.2019 15:38";0;"25.02.2019 10:31";0;"12.03.2019 15:00"
$Q_S031_BZ;-4.96;"28.02.2019 12:39";-4.96;"19.02.2019 19:36";-4.96;"19.02.2019 15:38";-4.96;"25.02.2019 10:31";-4.96;"12.03.2019 15:00"
$Q_S031_BV;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S031_COM;0;"28.02.2019 12:39";0;"19.02.2019 19:36";0;"19.02.2019 15:38";0;"25.02.2019 10:31";0;"12.03.2019 15:00"
$Q_S031_COM_BZ;-3.7723577235772354;"28.02.2019 12:39";-3.7723577235772354;"19.02.2019 19:36";-3.7723577235772354;"19.02.2019 15:38";-3.7723577235772354;"25.02.2019 10:31";-3.7723577235772354;"12.03.2019 15:00"
$Q_S031_COM_BV;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S031_MAN;0;"28.02.2019 12:39";0;"19.02.2019 19:36";0;"19.02.2019 15:38";0;"25.02.2019 10:31";0;"12.03.2019 15:00"
$Q_S031_MAN_BZ;-4.278260869565218;"28.02.2019 12:39";-4.278260869565218;"19.02.2019 19:36";-4.278260869565218;"19.02.2019 15:38";-4.278260869565218;"25.02.2019 10:31";-4.278260869565218;"12.03.2019 15:00"
$Q_S031_MAN_BV;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S031_MEA;0;"28.02.2019 12:39";0;"19.02.2019 19:36";0;"19.02.2019 15:38";0;"25.02.2019 10:31";0;"12.03.2019 15:00"
$Q_S031_MEA_BZ;-3.9626865671641784;"28.02.2019 12:39";-3.9626865671641784;"19.02.2019 19:36";-3.9626865671641784;"19.02.2019 15:38";-3.9626865671641784;"25.02.2019 10:31";-3.9626865671641784;"12.03.2019 15:00"
$Q_S031_MEA_BV;1;"28.02.2019 12:39";1;"19.02.2019 19:36";1;"19.02.2019 15:38";1;"25.02.2019 10:31";1;"12.03.2019 15:00"
$Q_S130;4.833333333333333;"28.02.2019 12:39";4.5;"19.02.2019 19:36";4.833333333333333;"19.02.2019 15:38";3.8333333333333335;"25.02.2019 10:31";3.5;"12.03.2019 15:00"
$Q_S131;4;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S130_D;4.666666666666667;"28.02.2019 12:39";4;"19.02.2019 19:36";4.666666666666667;"19.02.2019 15:38";3.6666666666666665;"25.02.2019 10:31";3.3333333333333335;"12.03.2019 15:00"
$Q_S130_R;5;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4;"25.02.2019 10:31";3.6666666666666665;"12.03.2019 15:00"
$Q_S131_D;3.3333333333333335;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S131_R;4.666666666666667;"28.02.2019 12:39";5;"19.02.2019 19:36";5;"19.02.2019 15:38";4.666666666666667;"25.02.2019 10:31";5;"12.03.2019 15:00"
$Q_S199;89.8;"28.02.2019 12:39";75.4;"19.02.2019 19:36";81.2;"19.02.2019 15:38";53.6;"25.02.2019 10:31";85.2;"12.03.2019 15:00"

PTX5B28MCH;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----
$C_S125_01_FK_IC;77;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_02_FK_IC;78;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_03_FK_IC;78;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_04_FK_IC;97;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_05_FK_IC;100;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_06_FK_IC;100;"18.03.2019 14:52";-;-;-;-;-;-;-;-
$C_S125_FK_IC;86;"18.03.2019 14:52";-;-;-;-;-;-;-;-

